"client_id","gender","birth_year","region","no..of.inhabitants","ratio.of.urban.inhabitants","average.salary","unemploymant.rate..95","unemploymant.rate..96","no..of.enterpreneurs.per.1000.inhabitants","no..of.commited.crimes..95","no..of.commited.crimes..96","frequency","loan_id","amount","duration","payments","status","balance_avg","balance_sd"
3542,1,1939,1,92084,"46.7",10124,0.56,0.54,141,"3810",4316,0,5568,272520,60,4542,1,44602.6416666667,24196.754530887
3576,0,1939,0,1204953,"100.0",12541,0.29,0.43,167,"85677",99107,0,5576,31248,12,2604,1,64493.0991666667,28994.6264318251
3616,0,1964,7,148545,"53.5",8909,4.01,5.56,113,"3460",3590,0,5586,48744,36,1354,1,42930.2071428571,19512.7909722538
3649,0,1959,1,92084,"46.7",10124,0.56,0.54,141,"3810",4316,0,5591,155616,48,3242,1,39426.07,13711.0944582933
3670,0,1980,5,105606,"53.0",8254,2.79,3.76,97,"2166",2325,0,5593,277884,36,7719,-1,46487.0025641026,28041.8750797263
3687,1,1972,5,75685,"60.8",8208,1.89,2.26,155,"1660",2123,0,5595,82896,12,6908,1,57141.730952381,24685.921391444
3705,0,1965,0,1204953,"100.0",12541,0.29,0.43,167,"85677",99107,0,5599,15420,12,1285,1,24577.2,7049.35098797991
3730,0,1945,6,108871,"62.1",8444,3.24,3.47,106,"2595",2305,1,5606,253512,36,7042,-1,37095.8448275862,24704.3850183754
3763,0,1977,4,85852,"59.8",8965,7.08,8.23,104,"2653",2822,0,5610,123216,48,2567,1,70622.83359375,28089.5246363499
3767,1,1936,2,177686,"74.8",10045,1.42,1.71,135,"6604",6295,0,5611,321180,60,5353,1,40524.4631578947,21716.7502502962
3829,1,1972,6,108871,"62.1",8444,3.24,3.47,106,"2595",2305,0,5624,177744,48,3703,-1,26746.5252631579,21147.0807028478
3855,1,1939,3,45714,"55.6",8843,2.82,3.6,113,"818",888,0,5625,222180,60,3703,-1,55230.4440677966,26510.559286204
3907,0,1954,0,1204953,"100.0",12541,0.29,0.43,167,"85677",99107,0,5635,77184,36,2144,1,50722.2701298701,30287.2146676703
4056,0,1952,6,86513,"50.5",8288,3.79,4.52,110,"1562",1460,0,5657,4980,12,415,1,30533.3717391304,8705.18353992897
4217,0,1951,1,81344,"55.3",8899,3.39,3.97,149,"2987",2487,0,5693,44088,24,1837,1,36548.81875,11906.808161813
4352,1,1971,7,226122,"62.6",8994,3.8,4.79,110,"9672",9208,1,5706,161496,36,4486,1,33219.9,19260.5462439382
4377,1,1978,5,78955,"59.0",9060,1.78,2.44,124,"1655",1717,0,5713,158760,60,2646,1,24908.7614457831,8944.71531123884
4428,1,1954,4,85852,"59.8",8965,7.08,8.23,104,"2653",2822,0,5723,23628,12,1969,1,47420.8418181818,27950.2106897095
4433,1,1968,0,1204953,"100.0",12541,0.29,0.43,167,"85677",99107,0,5724,316140,60,5269,-1,18632.9338129496,6901.26079064652
4434,1,1964,6,197099,"74.7",9624,1.6,2.31,145,"4484",4265,0,5725,444864,48,9268,1,32404.7734375,11798.8301963365
4520,0,1957,0,1204953,"100.0",12541,0.29,0.43,167,"85677",99107,0,5739,76380,12,6365,1,26122.8488888889,8289.78009371184
4527,0,1963,0,1204953,"100.0",12541,0.29,0.43,167,"85677",99107,0,5740,18564,12,1547,1,35538.0461538462,14265.870341694
4529,1,1976,4,114006,"62.3",9065,4.46,5.39,123,"4147",4166,1,5741,68544,24,2856,1,44948.6259259259,20196.0740707449
4584,0,1949,1,94725,"63.4",9920,2.26,2.87,130,"4289",4846,0,5750,63252,12,5271,1,49291.8225609756,18482.2989464827
4620,0,1940,6,387570,"100.0",9897,1.6,1.96,140,"18721",18696,0,5754,23052,12,1921,1,23771.9660818713,8912.01935825443
4916,1,1939,5,139012,"61.9",8363,2.52,3.49,108,"2564",2799,0,5804,158976,48,3312,1,49916.091025641,23319.3381850464
4918,1,1968,1,75637,"36.5",9622,0.45,0.59,154,"3475",3529,0,5805,137904,24,5746,-1,26886.1916666667,11982.1017548871
5133,0,1959,6,125832,"48.3",8512,3.51,4.12,102,"2247",2103,0,5836,79632,24,3318,1,63494.2,29061.5370551754
5134,0,1967,6,109164,"63.6",8757,3.38,3.95,96,"2212",2471,0,5837,244560,60,4076,1,38426.7285714286,15757.722747156
5224,1,1949,3,45714,"55.6",8843,2.82,3.6,113,"818",888,0,5861,51408,24,2142,1,52299.2859375,27533.4936541272
5318,1,1968,7,323870,"100.0",10673,4.75,5.44,100,"18782",18347,1,5876,221280,48,4610,1,37596.9323943662,18388.5280031
5320,0,1951,2,74062,"61.4",8114,2.38,2.62,119,"1003",1181,0,5877,97224,24,4051,1,22360.5366071429,7476.93779226286
5333,0,1967,4,119895,"89.9",10446,7.34,9.4,90,"4947",4743,0,5880,73836,36,2051,1,55315.1684210526,32965.1457780967
5337,1,1961,0,1204953,"100.0",12541,0.29,0.43,167,"85677",99107,0,5882,87816,12,7318,1,25533.2142857143,6896.75358541
5364,1,1964,6,145688,"40.7",8544,1.29,1.86,109,"2719",2906,0,5886,192744,36,5354,1,62590.4230769231,28733.3431882516
5366,0,1971,6,110643,"51.9",8441,3.45,4.48,115,"1879",2252,0,5887,192744,36,5354,1,37265.6552631579,16917.1617941261
5384,1,1935,7,182027,"56.4",8746,3.33,3.74,90,"4355",4433,1,5892,66480,24,2770,-1,34798.28,21490.6264629644
5399,0,1972,3,122603,"80.0",8991,1.39,2.01,128,"5198",5273,0,5897,15192,24,633,1,29941.9053254438,7237.18098879355
5433,1,1975,5,102609,"52.0",8187,4.83,5.45,94,"2123",2134,0,5900,135360,48,2820,1,64881.3142857143,30587.6036432061
5517,1,1964,6,161954,"48.0",8720,3.73,4.5,116,"3729",3651,0,5918,300204,36,8339,1,34084.4605633803,11447.5474997358
5521,0,1973,1,81344,"55.3",8899,3.39,3.97,149,"2987",2487,0,5922,20220,12,1685,1,41077.6352941176,25420.7275660302
5526,1,1947,3,67298,"43.8",8561,0.65,1.29,110,"1029",1127,0,5923,64656,48,1347,1,25896.4666666667,11814.9711817702
5606,1,1980,1,149893,"67.4",9753,4.64,5.05,109,"5244",5892,0,5938,402000,60,6700,1,21568.9351851852,7900.83174172206
5701,0,1959,1,88884,"46.7",8507,1.67,1.85,132,"2159",2674,0,5959,107640,24,4485,1,50214.5043478261,22727.6702252298
5760,1,1948,6,125832,"48.3",8512,3.51,4.12,102,"2247",2103,0,5970,465072,48,9689,1,27778.745631068,13613.1005661918
5826,1,1968,2,58796,"51.9",9045,3.13,3.6,124,"1845",1879,0,5980,21396,12,1783,1,30812.9461538462,7990.97115123813
5858,1,1952,5,139012,"61.9",8363,2.52,3.49,108,"2564",2799,0,5988,141648,24,5902,1,45100.4222222222,32279.9221627744
5860,1,1964,5,162580,"72.8",9538,1.51,1.81,111,"6079",5410,0,5989,213300,36,5925,1,27951.913559322,7864.49589327442
5911,1,1935,2,177686,"74.8",10045,1.42,1.71,135,"6604",6295,0,5997,117024,24,4876,1,44131.1692307692,19844.2475911528
5928,0,1970,5,95907,"59.1",8388,2.41,2.94,87,"1658",1668,0,5999,98832,48,2059,1,31814.2683615819,12078.5510197319
5965,1,1951,5,102609,"52.0",8187,4.83,5.45,94,"2123",2134,0,6004,143904,24,5996,1,49727.4561151079,23416.5632154416
5977,1,1979,5,161854,"76.3",9425,1.72,2.5,125,"4085",3891,0,6006,359760,60,5996,1,32434.69375,24143.8743968576
6015,1,1973,6,387570,"100.0",9897,1.6,1.96,140,"18721",18696,0,6011,179328,48,3736,1,44093.9711538462,14278.2257370368
6033,1,1966,0,1204953,"100.0",12541,0.29,0.43,167,"85677",99107,1,6012,258444,36,7179,1,40688.1375,17230.1596177507
6034,1,1939,2,70646,"58.4",8547,2.65,3.64,120,"1563",1542,1,6013,128988,36,3583,-1,34740.7024390244,17311.1197155447
6042,1,1963,6,107911,"50.9",8240,2.53,3.56,99,"1850",1903,0,6015,110112,24,4588,1,76232.7,28391.5690857361
6077,0,1980,6,387570,"100.0",9897,1.6,1.96,140,"18721",18696,0,6019,11400,12,950,1,27533.6636363636,6234.41540799534
6115,0,1953,1,53921,"41.3",8598,2.77,3.26,123,"1597",1875,1,6027,61656,24,2569,-1,44763.4583333333,24849.149080235
6178,0,1940,0,1204953,"100.0",12541,0.29,0.43,167,"85677",99107,0,6038,323472,48,6739,1,45414.0736842105,26516.4280016284
6185,0,1948,6,109164,"63.6",8757,3.38,3.95,96,"2212",2471,0,6043,20352,48,424,1,31814.4145833333,9092.64521654937
6299,1,1936,0,1204953,"100.0",12541,0.29,0.43,167,"85677",99107,0,6063,320976,48,6687,-1,49482.968,27435.7031200293
6301,0,1949,6,157042,"33.9",8743,1.88,2.43,111,"3659",3894,0,6064,14628,12,1219,1,32788.1421568627,9015.76816505543
6317,0,1957,7,148545,"53.5",8909,4.01,5.56,113,"3460",3590,2,6066,173808,24,7242,1,61218.6586666667,24967.3908398702
6349,1,1972,7,226122,"62.6",8994,3.8,4.79,110,"9672",9208,2,6072,193968,36,5388,1,63579.2172413793,30034.3134358623
6359,1,1976,6,197099,"74.7",9624,1.6,2.31,145,"4484",4265,0,6073,276300,60,4605,1,25997.5630434783,6720.21750579642
6367,1,1970,5,105606,"53.0",8254,2.79,3.76,97,"2166",2325,0,6077,79608,24,3317,1,69954.5716981132,24870.2329276802
6417,1,1950,4,128118,"85.3",9317,6.49,7.07,97,"6949",6872,0,6087,300660,60,5011,1,45854.8909090909,30520.9608072814
6499,1,1963,5,105606,"53.0",8254,2.79,3.76,97,"2166",2325,1,6103,149340,60,2489,1,29069.1160714286,10432.3446424138
6544,1,1974,6,125832,"48.3",8512,3.51,4.12,102,"2247",2103,0,6109,368880,60,6148,1,60030.7434065934,28681.8083833356
6551,0,1948,3,122603,"80.0",8991,1.39,2.01,128,"5198",5273,0,6111,174744,24,7281,-1,37485.45625,28302.6531429868
6567,0,1978,1,95616,"51.4",9307,3.85,4.43,118,"2616",3040,0,6112,174744,24,7281,-1,26252.8144067797,23430.5219183994
6616,1,1953,0,1204953,"100.0",12541,0.29,0.43,167,"85677",99107,0,6120,209184,48,4358,1,46230.3397058824,19403.3349506139
6691,1,1942,5,161854,"76.3",9425,1.72,2.5,125,"4085",3891,0,6130,32640,48,680,1,25906.4093457944,7545.46631844196
6731,1,1943,1,53921,"41.3",8598,2.77,3.26,123,"1597",1875,1,6137,44628,12,3719,1,49477.3212328767,22661.8837804567
6753,1,1962,2,58796,"51.9",9045,3.13,3.6,124,"1845",1879,0,6144,44376,12,3698,1,53505.2153846154,28278.2450646163
6789,1,1979,6,161954,"48.0",8720,3.73,4.5,116,"3729",3651,0,6150,83016,12,6918,1,67891.9352040816,25921.0441064247
6798,0,1948,6,117897,"53.8",8814,4.76,5.74,107,"2112",2059,0,6151,225420,60,3757,1,31185.1568627451,9614.3623318295
6803,0,1980,1,95616,"51.4",9307,3.85,4.43,118,"2616",3040,1,6153,285600,60,4760,1,49651.8918367347,26473.4218237354
6829,0,1963,1,92084,"46.7",10124,0.56,0.54,141,"3810",4316,2,6157,98592,24,4108,1,54128.5653846154,19656.2943813719
6895,1,1971,5,95907,"59.1",8388,2.41,2.94,87,"1658",1668,0,6169,103680,60,1728,-1,28250.1091743119,9371.38757971168
6936,0,1959,5,139012,"61.9",8363,2.52,3.49,108,"2564",2799,0,6175,290700,60,4845,-1,59647.424,31590.3305958896
6946,0,1970,7,323870,"100.0",10673,4.75,5.44,100,"18782",18347,2,6178,232560,48,4845,1,63188.6333333333,26204.0306754661
6987,1,1968,0,1204953,"100.0",12541,0.29,0.43,167,"85677",99107,0,6185,31176,24,1299,1,46304.152173913,15340.9509716157
7010,1,1967,7,285387,"89.9",10177,6.63,7.75,81,"9878",10108,0,6190,123600,60,2060,1,39514.6775510204,23277.8730933322
7127,1,1957,1,75232,"41.7",8980,1.95,2.21,111,"2824",2813,0,6202,65184,12,5432,1,47426.55,18172.7682504688
7166,1,1964,2,58796,"51.9",9045,3.13,3.6,124,"1845",1879,0,6210,87216,48,1817,-1,28362.2484848485,8425.33267236824
7195,1,1962,5,102609,"52.0",8187,4.83,5.45,94,"2123",2134,0,6216,141240,24,5885,1,57219.5745098039,19476.2939912246
7241,0,1957,6,161954,"48.0",8720,3.73,4.5,116,"3729",3651,0,6223,61056,48,1272,1,36039.0515625,9064.78033824496
7286,0,1970,5,162580,"72.8",9538,1.51,1.81,111,"6079",5410,0,6227,28248,24,1177,1,45582.4489361702,11726.6176071652
7291,0,1940,7,148545,"53.5",8909,4.01,5.56,113,"3460",3590,1,6228,464520,60,7742,-1,51760.0161764706,27848.6867075738
7299,1,1938,0,1204953,"100.0",12541,0.29,0.43,167,"85677",99107,0,6229,11736,24,489,1,42224.4390977444,11703.0397710468
7311,1,1949,6,124605,"46.0",8772,4.69,4.98,126,"2854",3158,0,6232,276660,36,7685,-1,19256.8948275862,6029.33831266494
7390,1,1937,0,1204953,"100.0",12541,0.29,0.43,167,"85677",99107,1,6244,270648,36,7518,-1,60819.9763888889,29717.3445728698
7422,1,1958,7,323870,"100.0",10673,4.75,5.44,100,"18782",18347,0,6253,59760,24,2490,1,40204.4648148148,12827.1939141715
7521,0,1960,7,323870,"100.0",10673,4.75,5.44,100,"18782",18347,1,6272,398640,60,6644,1,63383.5755813954,21947.8810920456
7576,1,1962,4,85852,"59.8",8965,7.08,8.23,104,"2653",2822,0,6279,87360,24,3640,1,36783.95,13552.4494898524
7594,0,1949,6,197099,"74.7",9624,1.6,2.31,145,"4484",4265,0,6283,85632,48,1784,1,65066.7352941177,26945.9103806775
7672,1,1953,3,170449,"100.0",10787,2.64,3.09,131,"6041",6261,0,6294,79920,60,1332,1,43846.9778947368,11483.0132846738
7678,1,1962,1,75232,"41.7",8980,1.95,2.21,111,"2824",2813,0,6296,270384,48,5633,1,47654.2448275862,18202.5397930386
7683,1,1946,1,107870,"58.0",8754,3.83,4.31,137,"3804",3868,0,6297,17508,12,1459,1,39290.6180555556,9324.20998158318
7723,0,1966,5,78955,"59.0",9060,1.78,2.44,124,"1655",1717,0,6302,181020,60,3017,1,34005.9064516129,9801.68064452976
7727,0,1958,3,51313,"59.2",8930,3.52,4.2,108,"1328",1452,2,6303,72408,24,3017,-1,45099.2615384615,19929.621714111
7753,0,1978,7,285387,"89.9",10177,6.63,7.75,81,"9878",10108,0,6306,36684,12,3057,1,30229.7976,7937.35331596712
7765,0,1958,0,1204953,"100.0",12541,0.29,0.43,167,"85677",99107,0,6309,110136,24,4589,1,50815.8047619048,29147.9849170016
7814,0,1976,6,117897,"53.8",8814,4.76,5.74,107,"2112",2059,0,6315,43164,12,3597,1,68377.0637681159,22291.6540331866
7815,0,1946,1,149893,"67.4",9753,4.64,5.05,109,"5244",5892,0,6316,76908,12,6409,-1,52890.4039215686,23250.7804345665
7914,0,1966,4,85852,"59.8",8965,7.08,8.23,104,"2653",2822,1,6336,212400,36,5900,1,51034.361971831,27309.5010856471
7980,1,1976,2,93931,"56.9",8427,1.12,1.54,107,"1874",1913,0,6342,60156,36,1671,-1,72667.6357142857,34206.9874151755
8076,0,1950,2,93931,"56.9",8427,1.12,1.54,107,"1874",1913,0,6354,22968,36,638,1,23324.9363636364,11195.5739582455
8091,1,1971,1,95616,"51.4",9307,3.85,4.43,118,"2616",3040,1,6356,95400,36,2650,1,41562.3234042553,23576.7433442569
8105,1,1963,7,226122,"62.6",8994,3.8,4.79,110,"9672",9208,1,6358,137880,60,2298,-1,24523.0730337079,11727.0660486249
8130,0,1976,6,145688,"40.7",8544,1.29,1.86,109,"2719",2906,0,6362,37908,12,3159,1,42164.0276315789,12938.940496291
8359,1,1979,7,323870,"100.0",10673,4.75,5.44,100,"18782",18347,0,6403,194880,48,4060,1,36421.4256637168,13195.884796079
8366,0,1960,4,118650,"85.6",9832,3.32,4.48,114,"6445",5471,0,6407,25944,24,1081,1,56927.4540540541,17426.036797827
8432,0,1968,4,85852,"59.8",8965,7.08,8.23,104,"2653",2822,0,6421,96768,36,2688,1,51611.3424242424,22929.2438140538
8598,0,1957,5,112709,"73.5",8369,1.79,2.31,117,"2854",2618,2,6456,47016,12,3918,1,60382.0857142857,23888.3215594482
8610,0,1948,6,157042,"33.9",8743,1.88,2.43,111,"3659",3894,0,6460,48672,36,1352,1,23050.1896907217,5423.58757653173
8615,0,1939,1,107870,"58.0",8754,3.83,4.31,137,"3804",3868,1,6461,74124,36,2059,1,54371.2991803279,30062.3897433142
8670,0,1943,1,95616,"51.4",9307,3.85,4.43,118,"2616",3040,0,6471,155640,24,6485,1,45183.3495238095,13513.4703010347
8677,1,1955,5,75685,"60.8",8208,1.89,2.26,155,"1660",2123,0,6474,63360,60,1056,1,29108.3638655462,6107.70691624117
9173,1,1945,0,1204953,"100.0",12541,0.29,0.43,167,"85677",99107,0,6499,80952,24,3373,1,33312.5388888889,12270.8957420796
9196,0,1939,2,103347,"67.0",9104,1.51,2.07,123,"2299",2354,0,6501,30276,12,2523,-1,31318.872826087,12216.3463270595
9226,0,1939,6,197099,"74.7",9624,1.6,2.31,145,"4484",4265,0,6509,55368,24,2307,1,46061.3193877551,24131.838911621
9236,0,1956,3,51313,"59.2",8930,3.52,4.2,108,"1328",1452,0,6512,63312,48,1319,1,22551.7792682927,5522.43286901478
